BookTitle,Book-Author,Year-Of-Publication,Publisher,Genre
Deep Work,Cal Newport,2016,,Self-help
The Power of Habit,Charles Duhigg,2012,,Self-help
The Art of War,Sun Tzu,2005,,Historical Fiction
The Subtle Art of Not Giving a Fuck,Mark Manson,2016,,Self-helps
Mindset,Carol S. Dweck,2016,,Self-help
Unaccustomed Earth,Jhumpa Lahiri,2008,,Short Story
The Scarlet Letter,Nathaniel Hawthorne,1850,,Romanticism Reference work
Fahrenheit 451,Ray Bradbury,1953,,Dystopian Fiction Political fiction
The Grapes of Wrath,John Stienbeck,1939,,Novel
East of Eden,John Stienbeck,1952,,Romance novel
Of Mice and men,John Stienbeck,1937,,Novella Fiction Tragedy
The Things they Carrried,Tim O'Brian,1990,,Historical Fiction
Siddartha,Hermann Hesse,1922,,Philosophical Fiction
Grendel,John Gardner,1971,,Fantasy Fiction Study guide Postmodern literature Parallel novel
Dracula,Bram Stoker,1897,,Novel Horror fiction Epistolary novel Fantasy Fiction Fantastique Invasion literature
